,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr_adam,params_lr_sgd,params_momentum,params_optimizer,params_out_dim,params_temperature,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,5.429869588216146,2025-10-03 13:48:45.924821,2025-10-03 15:28:57.983348,0 days 01:40:12.058527,512,0.0010402210752062972,,,AdamW,256,0.3912013827131506,7.198621851584788e-06,5.673299725850423,5.686800940831502,5.465713675816854,COMPLETE
1,1,3.2384332100550335,2025-10-03 15:28:58.010408,2025-10-03 17:01:31.174956,0 days 01:32:33.164548,512,,0.08737034746294749,0.8451585997467344,SGD,64,0.11207638790716748,8.522733638226524e-05,3.9392465114593507,,,COMPLETE
2,2,4.814229126771291,2025-10-03 17:01:31.199018,2025-10-03 18:35:25.907372,0 days 01:33:54.708354,256,0.002314415643774796,,,AdamW,128,0.36253528326403606,8.250082592381113e-05,5.095111465454101,4.963861068089803,4.8545997897783915,COMPLETE
3,3,inf,2025-10-03 18:35:25.932179,2025-10-03 18:47:07.791674,0 days 00:11:41.859495,512,0.0018864659360036636,,,AdamW,256,0.3332380227604441,8.87761505839039e-05,5.70138111114502,,,COMPLETE
4,4,4.2630577762921655,2025-10-03 18:47:07.815706,2025-10-03 20:25:51.230296,0 days 01:38:43.414590,256,1.2297658702056434e-05,,,AdamW,256,0.15008944877043834,3.458563455627838e-05,5.289806930224101,4.731915152072906,,COMPLETE
5,5,inf,2025-10-03 20:25:51.257426,2025-10-03 20:48:41.730821,0 days 00:22:50.473395,512,,0.03800073696811095,0.8652689478650056,SGD,64,0.46210309824795,1.3148692332049616e-05,5.889751593271892,,,COMPLETE
6,6,inf,2025-10-03 20:48:41.755346,2025-10-03 21:00:11.326509,0 days 00:11:29.571163,512,0.0013864545694571686,,,AdamW,128,0.5107448010181754,0.0002296462943934948,6.033181047439575,,,COMPLETE
7,7,4.5107507030169165,2025-10-03 21:00:11.357589,2025-10-03 22:35:18.332671,0 days 01:35:06.975082,256,,0.011658926364101627,0.8943960044329101,SGD,64,0.2720546274918635,1.7078247877572382e-05,4.8339840571085615,4.672688853740692,,COMPLETE
8,8,inf,2025-10-03 22:35:18.357168,2025-10-03 22:55:43.704217,0 days 00:20:25.347049,256,,0.1321890677511498,0.8257283493377833,SGD,128,0.5135206268927849,0.0001494282746094684,5.291293716430664,,,COMPLETE
9,9,inf,2025-10-03 22:55:43.732421,2025-10-03 23:07:29.076380,0 days 00:11:45.343959,512,0.0011862428790578431,,,AdamW,256,0.7386828616232133,4.33626268485418e-05,6.229113817214966,,,COMPLETE
10,10,inf,2025-10-03 23:07:29.103074,2025-10-03 23:30:41.426089,0 days 00:23:12.323015,512,,0.13609423589205466,0.9754786785875018,SGD,64,0.9123751392962093,0.0009157417006667461,6.382867765426636,,,COMPLETE
11,11,2.4473456422487896,2025-10-03 23:30:41.454769,2025-10-04 01:09:13.857964,0 days 01:38:32.403195,256,,0.05249637889921841,0.801330143365182,SGD,64,0.05837319072200908,1.2536114835381296e-06,5.264936582247416,4.2437137524286905,2.9219402015209197,COMPLETE
12,12,inf,2025-10-04 01:09:13.884580,2025-10-04 01:19:56.593641,0 days 00:10:42.709061,256,,0.050043156630445486,0.8064195539952387,SGD,64,0.08019903012432202,1.2091003441751255e-06,5.305762581030527,,,COMPLETE
13,13,inf,2025-10-04 01:19:56.618490,2025-10-04 01:30:24.817011,0 days 00:10:28.198521,256,,0.054593273672691595,0.8418133042936804,SGD,64,0.05082269043308191,1.0970511619760162e-06,5.497095942497253,,,COMPLETE
14,14,inf,2025-10-04 01:30:24.840960,2025-10-04 01:41:34.519871,0 days 00:11:09.678911,512,,0.08143197232331896,0.80007972624319,SGD,64,0.22406364168863485,4.2504263665835525e-06,5.3104413191477455,,,COMPLETE
